study_hours,attendance,internal_marks,final_marks,pass_fail
2,60,14,50,0
5,90,18,78,1
3,75,15,62,1
1,55,10,40,0
4,80,16,70,1
6,92,19,85,1
2,65,13,45,0
3,70,12,55,1
5,88,17,82,1
4,78,15,68,1
1,50,9,35,0
2,58,11,42,0
6,95,20,90,1
5,85,18,75,1
3,72,14,60,1
4,76,16,72,1
2,62,12,48,0
1,45,8,30,0
3,69,13,58,1
5,91,19,87,1
4,81,16,74,1
6,96,20,92,1
2,63,11,47,0
3,71,14,59,1
5,89,18,80,1
4,77,15,67,1
1,48,9,33,0
2,57,10,41,0
3,74,13,61,1
6,94,20,91,1
5,87,18,79,1
4,79,16,73,1
3,68,12,57,1
2,54,10,38,0
1,49,9,32,0
5,90,19,86,1
4,83,15,69,1
6,97,20,95,1
3,70,12,56,1
2,60,11,44,0
4,82,15,71,1
5,93,19,89,1
3,73,13,63,1
1,52,8,31,0
2,59,11,43,0
6,98,20,96,1
4,84,17,76,1
3,67,12,55,1
5,92,19,88,1
